Spanish,English
de,of
que,that(what)
y,and
a,to
en,in
un,a
ser,be
se,HE
no,No
haber,to have
por,by
con,with
su,his
para,for
como,as
tener,have
le,you
lo,it
lo que,which
este,this
pero,but
hacer,do
ese,that
o,either
más,further
decir,say
este,this
ir,go
otro,other
todo,all
con,with
hacer,do
otro,other
uno,one
si,Yeah
no,No
haber,to have
quien,who
cuando,when
también,also
mucho,a lot
cualquier,any
nada,nothing
otro,other
cada,each
tanto,so much
siempre,always
estar,be
puede,can
haber,to have
alguien,someone
hacer,do
tiempo,time
nada,nothing
día,day
algún,some
manera,manner
qué,that
año,year
nosotros,us
algo,something
después,after
ellos,they
ella,she
mucho,a lot
sin,without
lugar,place
persona,person
tanto,so much
primero,first
puede,can
muy,very
saber,know
ver,see
dejar,leave
gran,great
vida,life
siempre,always
estar,be
mucho,a lot
llevar,carry
tiempo,time
seguir,continue
hablar,talk
dejar,leave
mundo,world
menos,less
mismo,same
persona,person
padre,father
poner,put
trabajo,job
momento,moment
mismo,same
casi,almost
junto,together
seguir,continue
señor,Sir
ninguno,none
menos,less
noche,evening
casa,home
alguien,someone
lugar,place
hablar,talk
hijo,son
dar,give
parece,seems
país,country
hacia,toward
conocido,acquaintance
mujer,women
cual,which
padre,father
madre,mother
momento,moment
venir,come
antes,before
lado,side
siempre,always
grupo,cluster
necesitar,need
bajo,low
país,country
gran,great
casa,home
lugar,place
menos,less
decir,say
pensar,think
poner,put
posible,possible
joven,young
ojo,eye
segundo,second
explicar,explain
hacer,do
casi,almost
claro,clear
varias,several
así,So
situación,situation
tener,have
gustar,like
deber,duty
caso,case
llegar,arrive
hacia,toward
persona,person
siguiente,following
sentir,feel
partir,leave
pasado,past
seguir,continue
utilizar,use
hacer,do
lado,side
comenzar,begin
tanto,so much
mantener,keep
tiempo,time
querer,want
cerca,near
alto,high
joven,young
todavía,still
llevar,carry
poner,put
conseguir,get
hablar,talk
nadie,nobody
dormir,sleep
alguien,someone
hermano,brother
importante,important
cuál,which
